,reshaped_column,origin,total_characters,uppercase_characters,lowercase_characters,special_characters,numbers,blanks,number_of_words,average_length_of_words,number_of_propositions,average_length_of_propositions,punctuation_characters,lowercase_words,uppercase_words,vocabulary_richness,number_of_urls,flesch_kincaid_grade_level,flesch_reading_ease,dale_chall_readability,automated_readability_index,coleman_liau_index,gunning_fog,smog_index,linsear_write_index
2," A computational biologist is using backpropagation to train a machine learning algorithm to predict the likelihood of different genetic mutations leading to cancer. By analyzing large sets of genomic data, the algorithm is trained to identify the underlying genetic factors that contribute to cancer development.",LLM,0.006430868167202572,0.0,0.007662835249042145,0.0,0.0,0.0,0.021739130434782608,0.02990810359231416,0.0,0.021739130434782608,0.0,0.022727272727272728,0.0,0.05555555555555555,0.0,0.058823529411764705,0.5563331000699789,0.04224270353302603,0.03468208092485537,0.06114885731933282,0.03790360318203099,0.0,0.013157894736842105
5," As a computational biologist, I want to use Bayesian neural networks to model complex biological systems and predict their behavior under different conditions, so that I can gain a deeper understanding of the underlying mechanisms that govern cellular processes.",LLM,0.011538461538461539,0.0,0.004629629629629629,0.0,0.0,0.05405405405405406,0.02631578947368421,0.021271702886052627,0.0,0.02631578947368421,0.0,0.029411764705882353,0.0,0.0,0.0,0.017543859649122744,1.0851063829787235,0.0701373825018077,0.003968253968253884,0.04085257548845478,0.005052467936261135,0.0,0.05172413793103448
8," As a microbiologist, I want to use constrained clustering to identify different strains of bacteria based on their genetic profiles, while also accounting for specific environmental factors that may impact their growth and behavior.",LLM,0.46924829157175396,0.3333333333333333,0.47989276139410186,0.5,0.0,0.40350877192982454,0.41379310344827586,0.11133353865106259,0.5,0.1724137931034483,0.5,0.41818181818181815,0.0,0.36,0.0,0.01951219512195115,43.925925925925924,0.016962220508866664,0.04149377593360996,0.2,0.06893504197967311,0.0,0.14893617021276595
11," As a biologist, I want to use data mining techniques to analyze large datasets of gene expression data, so that I can identify patterns and relationships between genes and biological processes.",LLM,0.233201581027668,0.0,0.24154589371980675,0.0,0.0,0.225,0.24390243902439024,0.012115704982583596,0.0,0.24390243902439024,0.0,0.2631578947368421,0.0,0.2222222222222222,0.0,0.13658536585365857,0.07897196261682249,0.05234795996920706,0.2033898305084746,0.004511278195488759,0.0774860094705123,0.0,0.18181818181818182
14," As a bioinformatics researcher, I want to develop a conversational AI system that can communicate with biologists in natural language and provide automated support for tasks such as gene expression analysis, drug discovery, and protein structure prediction.",LLM,0.015748031496062992,0.0,0.014285714285714285,0.0,0.0,0.027777777777777776,0.0,0.013761467889908192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06259204712812957,0.016129032258064457,0.027315914489311213,0.088055442315532,0.0,0.03508771929824561
17," As a bioinformatics specialist, I want to use discourse relation analysis to comprehend the flow of information in scientific articles and identify the most relevant information for specific biological questions.",LLM,0.05752212389380531,0.6,0.05291005291005291,0.0,0.0,0.0,0.03225806451612903,0.035204081632653074,0.0,0.03225806451612903,0.0,0.07692307692307693,0.0,0.06896551724137931,0.0,0.018779342723004796,0.44347826086956516,0.12900976290097627,0.06302521008403361,0.06778797145769631,0.04010970174837167,0.0,0.017543859649122806
20," As a medical imaging specialist, I want to leverage elastic matching to align magnetic resonance imaging (MRI) scans of the brain and spinal cord, improving the accuracy of diagnosis and treatment of neurological disorders such as multiple sclerosis.",LLM,0.2324159021406728,0.16666666666666666,0.2397003745318352,0.0,0.0,0.22448979591836735,0.24,0.00814085573646359,0.5,0.52,0.0,0.2391304347826087,0.0,0.29545454545454547,0.0,0.3311688311688311,0.45202193283070596,0.05653170359052714,0.38728323699421957,0.024523160762942742,0.26320754716981143,0.0,0.5384615384615384
23," As a bioinformatics researcher, I want to leverage embedding techniques to represent biological molecules and genomic data as continuous vectors, enabling me to apply machine learning algorithms to analyze and classify these data.",LLM,0.0211864406779661,0.0,0.03015075376884422,0.0,0.0,0.03125,0.0,0.029411764705882328,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.09913793103448279,1.323690383111806,0.0,0.037190082644628045,0.05582393988191085,0.0,0.0,0.0
26," As a biologist, I want to leverage entity linking to automatically connect information from diverse sources, such as gene databases and scientific publications, so that I can better comprehend the relationships between different biological concepts.",LLM,0.07407407407407407,0.0,0.07142857142857142,0.0,0.0,0.10256410256410256,0.125,0.06369820655534941,0.0,0.125,0.0,0.13513513513513514,0.0,0.08571428571428572,0.0,0.03389830508474579,1.1414141414141414,0.06878698224852069,0.031007751937984523,0.12484624846248446,0.1003703703703704,0.0,0.140625
29," As a computational biologist, I want to use evolutionary learning algorithms to simulate the process of natural selection and comprehend how genetic variation and environmental factors contribute to the evolution of diverse species.. Based on the following metrics: diff_total_characters: 83, diff_uppercase_characters: 2, diff_lowercase_characters: -65, diff_special_characters: -2, diff_numbers: 0, diff_blanks:",LLM,0.305993690851735,0.25,0.24714828897338403,5.75,0.0,0.06521739130434782,0.0425531914893617,0.29188944950674,0.0,0.0425531914893617,5.75,0.046511627906976744,0.5,0.075,0.0,0.15697674418604649,1.3018867924528301,0.22428330522765602,0.4799999999999999,0.5162907268170425,0.14922571562646644,0.0,0.12987012987012986
MAPE,,,0.14273594654394023,0.13499999999999998,0.13893548758909824,0.625,0.0,0.11338618935484743,0.11455617183866236,0.06167348761390096,0.1,0.11841824080417962,0.625,0.12311790250996128,0.05,0.1197394884808678,0.0,0.08724261042336082,5.030882888227049,0.07228940676087171,0.1298169255254124,0.11231006728746644,0.08303458997990296,0.0,0.12572246319778613
